judgment_id,judgment_name,required_inputs,required_fields,detection_condition,exception_condition,result_status,urgency,official_source_ids,report_reason,question_template,action_template,limitations,version,implementation
J01,계약서 임대인=등기 소유자,계약서;등기사항증명서,landlord_name;owner_names;is_proxy_contract,정규화한 임대인 이름이 소유자 목록에 포함되는지 비교,대리계약은 J04 권한 확인으로 전환,일치|불일치|확인 필요|확인 불가,즉시 확인,SRC-STD-LEASE;SRC-REGISTRY-SAMPLE,계약 상대와 등기상 소유자 관계를 확인합니다.,계약 상대의 권한 근거를 확인하셨습니까?,입금·서명 전에 소유자와 계약 권한 자료를 대조하세요.,이름 비교만으로 계약 권한의 법적 유효성을 확정하지 않습니다.,1.0.0,rules/judgments.py:_j01
J02,목적물 주소 일치,계약서;등기사항증명서,property_address,정규화한 계약서와 등기 소재지 주소를 비교,호수 누락 등 모호한 표기는 확인 필요,일치|불일치|확인 필요|확인 불가,계약 전 확인,SRC-STD-LEASE;SRC-REGISTRY-SAMPLE,계약 대상 목적물 표시를 확인합니다.,동·층·호를 원문에서 대조하셨습니까?,계약서와 등기사항증명서의 목적물 표시를 대조하세요.,주소 표기 차이가 실제 목적물 동일성을 확정하지 않습니다.,1.0.0,rules/judgments.py:_j02
J03,공동소유 여부·추가확인,등기사항증명서,owner_names;is_joint_ownership;owner_shares,공동소유이면 전원 동의·서명 확인을 요구,단독소유는 적용 제외,확인 필요|적용 제외|확인 불가,계약 전 확인,SRC-REGISTRY-SAMPLE,공동소유 구조와 추가 확인 필요성을 표시합니다.,공동소유자 전원의 동의·서명을 확인하셨습니까?,공동소유자 전원의 동의 또는 대리 권한 자료를 확인하세요.,지분 정보만으로 개별 행위의 법적 효력을 판단하지 않습니다.,1.0.0,rules/judgments.py:_j03
J04,대리인 계약·권한 서류 확인,계약 상황;계약서,is_proxy_contract;agent_name;agent_relationship;proxy_authority_documents,대리계약이면 권한 서류 원본·범위 확인을 요구,본인 계약은 적용 제외,확인 필요|적용 제외|확인 불가,즉시 확인,SRC-STD-LEASE,대리계약의 권한 확인 필요성을 표시합니다.,대리 권한 서류 원본과 범위를 확인하셨습니까?,위임장·인감증명서 등 권한 자료를 확인하세요.,서류 언급만으로 진위와 법적 효력을 판단하지 않습니다.,1.0.0,rules/judgments.py:_j04
J05,입금 계좌 명의=계약 상대,계약서;등기사항증명서,account_holder;landlord_name;owner_names;is_proxy_contract,정규화한 계좌 명의가 임대인·소유자와 모두 일치하는지 비교,대리계약 또는 계좌 미기재는 확인 필요,일치|불일치|확인 필요|확인 불가,즉시 확인,SRC-STD-LEASE;SRC-MOLIT-CHECKLIST,입금 계좌 명의와 계약 상대 관계를 확인합니다.,입금 계좌 명의가 다른 이유를 확인하셨습니까?,입금 전에 계좌 명의와 계약 상대 관계를 증빙으로 확인하세요.,계좌 명의 비교만으로 거래 안전성을 확정하지 않습니다.,1.0.0,rules/judgments.py:_j05
J06,보증금·월세·계약금·잔금 기재 상태,계약 상황;계약서,contract_type;deposit;monthly_rent;contract_payment;balance_payment,계약 유형별 적용 금액의 기재 여부를 검사,일반 월세의 보증금형 지급 항목은 적용 제외,명확|미기재|확인 필요|적용 제외,계약 전 확인,SRC-STD-LEASE,계약 유형에 필요한 금액 기재 상태를 확인합니다.,필수 금액이 모두 기재됐습니까?,누락·모호한 금액을 계약서에 구체적으로 기재하세요.,기재 여부만 확인하며 금액의 적정성을 판단하지 않습니다.,1.0.0,rules/judgments.py:_j06
J07,금액 숫자·한글 표기 일치,계약 상황;계약서,contract_type;deposit;deposit_korean_amount;monthly_rent;monthly_rent_korean_amount;contract_payment;contract_payment_korean_amount;balance_payment;balance_payment_korean_amount,적용 금액의 숫자값과 한글 파싱값을 비교,미표기는 확인 필요이고 파싱 실패는 확인 불가,일치|불일치|확인 필요|확인 불가,계약 전 확인,SRC-STD-LEASE,숫자와 한글 금액 표기의 일치 여부를 확인합니다.,두 금액 표기를 대조하셨습니까?,불일치·파싱 실패 금액 표기를 수정한 뒤 다시 확인하세요.,문서에서 구조화된 금액만 비교하며 금액 적정성을 판단하지 않습니다.,1.0.0,rules/judgments.py:_j07
J08,지급일·입주일·계약기간 일관성,계약 상황;계약서,contract_payment_date;balance_payment_date;move_in_date;start_date;end_date,계약금≤잔금≤입주와 입주=시작 및 시작<종료를 검사,누락은 미기재이고 모호·파싱 실패는 확인 필요,일치|불일치|미기재|확인 필요,계약 전 확인,SRC-STD-LEASE,지급·입주·계약기간 날짜의 일관성을 확인합니다.,날짜 순서와 계약 상황 입력을 대조하셨습니까?,모순되거나 누락된 날짜를 계약서에서 정리하세요.,날짜 순서만 비교하며 이행 가능성을 판단하지 않습니다.,1.0.0,rules/judgments.py:_j08
J09,관리비 금액·포함 항목 명확성,계약서,management_fee_present;management_fee;management_fee_items,관리비가 있으면 금액과 포함 항목의 구체성을 검사,관리비 없음은 적용 제외,명확|불명확|미기재|적용 제외|확인 필요,참고,SRC-STD-LEASE,관리비 금액과 포함 항목의 기재 상태를 확인합니다.,관리비 세부 항목을 확인하셨습니까?,관리비 금액·포함·별도 부과 항목을 문서로 확인하세요.,실제 부과액과 향후 변동을 예측하지 않습니다.,1.0.0,rules/judgments.py:_j09
J10,보증금 반환 시점·조건 명확성,계약서,deposit_return_condition;deposit_return_clause,구조화된 반환 조건 명확성 후보를 규칙 상태로 확정,관련 조항 없음은 미기재,명확|불명확|미기재|확인 필요,계약 전 확인,SRC-STD-LEASE,보증금 반환 시점과 조건의 명확성을 확인합니다.,반환 시점과 정산 조건을 확인하셨습니까?,반환 조건을 계약서에 구체적으로 기재하세요.,구조화된 문구 명확성만 확정하며 법적 효력을 판단하지 않습니다.,1.0.0,rules/judgments.py:_j10
