catalog_id,topic,source_id,article_or_section,relevance_note,corpus_status,review_status
SC-DEFERRED-REFUND,,SRC-STD-LEASE,제9조(계약의 종료),계약 종료 시 목적물 반환과 보증금 반환의 동시 이행 기준,in_corpus,unverified
SC-DEFERRED-REFUND,,SRC-CIVIL-LEASE,제536조(동시이행의 항변권),쌍무계약에서 상대방의 이행 제공과 연계되는 동시이행의 직접 근거,in_corpus,unverified
SC-DEFERRED-REFUND,,SRC-HTA-LAW,제4조 제2항(보증금 반환 전 임대차관계 존속),기간 종료 뒤에도 보증금 반환 전까지 임대차관계가 존속하는 보호 기준,in_corpus,unverified
SC-REPAIR-SCOPE,,SRC-STD-LEASE,제3조(입주 전 수리),입주 전 수리 시설과 비용부담 및 완료 시기 합의 기준,in_corpus,unverified
SC-REPAIR-SCOPE,,SRC-STD-LEASE,제4조 제2항~제4항(임차주택의 사용·관리·수선),계약 중 사용·수익에 필요한 상태 유지와 수선비용 정산 기준,in_corpus,unverified
SC-REPAIR-SCOPE,,SRC-CIVIL-LEASE,제623조(임대인의 의무),임대물의 사용·수익에 필요한 상태 유지 의무의 직접 근거,in_corpus,unverified
SC-REPAIR-SCOPE,,SRC-CIVIL-LEASE,제626조(임차인의 상환청구권),임차인이 지출한 필요비와 유익비의 상환청구 근거,in_corpus,unverified
SC-RESTORATION-SCOPE,,SRC-STD-LEASE,제9조(계약의 종료),원상복구에서 시설물 노후와 통상손모를 제외하는 핵심 기준,in_corpus,unverified
SC-RESTORATION-SCOPE,,SRC-CIVIL-LEASE,제615조·제654조(원상회복 준용),임대차 종료 시 원상회복 의무의 준용 근거,in_corpus,unverified
SC-RIGHTS-CHANGE,,SRC-HTA-LAW,제3조(대항력 등),인도와 전입신고 뒤 대항력이 발생하는 시점의 위험 설명 근거,in_corpus,unverified
SC-RIGHTS-CHANGE,,SRC-HTA-LAW,제3조의2(보증금의 회수),확정일자와 대항요건을 통한 우선변제권의 위험 설명 근거,in_corpus,unverified
SC-RIGHTS-CHANGE,,SRC-STD-LEASE,[특약사항] 담보권 설정 금지·위반 시 해제 또는 해지,입주 다음날까지 담보권 설정을 제한하고 위반 대응을 정하는 권장 특약 근거,in_corpus,unverified
SC-RIGHTS-CHANGE,,SRC-MOLIT-CHECKLIST,특약사항 설정(권장),담보권 설정 금지와 위반 대응 특약을 두도록 안내하는 확인 근거,in_corpus,unverified
SC-RIGHTS-CHANGE,,SRC-MOLIT-CHECKLIST,잔금 지급 전 권리관계 재확인,잔금 전 등기사항증명서의 권리변동을 재확인하는 행동 근거,in_corpus,unverified
SC-RIGHTS-CHANGE,,SRC-MOLIT-CHECKLIST,담보권 설정 특약 이행 여부 확인,입주 후 등기사항증명서로 특약 이행 여부를 최종 확인하는 행동 근거,in_corpus,unverified
SC-MANAGEMENT-FEE,,SRC-STD-LEASE,제1조(보증금과 차임 및 관리비),관리비 총액과 세부금액 및 부과 방식의 명확성 기준,in_corpus,unverified
SC-MANAGEMENT-FEE,,SRC-CONFIRM-FORM,[관리비],관리비 포함 항목과 별도 사용료 및 부과 방식 확인 기준,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,deposit_refund,SRC-STD-LEASE,제9조(계약의 종료),보증금 반환 주제의 본문과 특약 상충 비교 기준,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,deposit_refund,SRC-CIVIL-LEASE,제536조(동시이행의 항변권),보증금 반환 주제의 동시이행 조건 비교 근거,in_corpus,unverified
